,epoch_losses,elapsed_time
0,1.8621165047068078,9.15144918113947
1,1.2696269091639691,18.229341162368655
2,1.097188066190748,27.277392642572522
3,1.007427383651103,36.33313089981675
4,0.9546550577446851,45.39714424870908
5,0.9094679511940555,54.4310697466135
6,0.8753660145217675,63.48325537517667
7,0.8552140719982099,72.61252870596945
8,0.8417936976530405,81.73351593874395
9,0.829926417008646,90.8178122062236
10,0.8108849793926739,99.83589601889253
11,0.7886273080288474,108.88866640254855
12,0.7653351757190884,117.93584236875176
13,0.752216907674824,127.0042217336595
14,0.7407949226560877,136.0396429169923
15,0.7330134861759031,145.10382808186114
16,0.7270042508014484,154.25604568980634
17,0.721274832196073,163.33500110358
18,0.7155777172429729,172.37674585171044
19,0.7135810602003577,181.41834410652518
20,0.7089695797673167,190.4692053310573
21,0.7074779078269056,199.50114955194294
22,0.7045564723612149,208.56518211774528
23,0.7032820738391328,217.6213078983128
24,0.7002227886526315,226.68829389102757
25,0.6969148113783489,235.7685664165765
26,0.6955580102291696,244.98049331083894
27,0.6945202191755462,254.04601819068193
28,0.693216634362237,263.0751766823232
29,0.6913993570214904,272.1717187911272
43
