,epoch_losses,elapsed_time,Accuracy
0,1.942717505,6.538805939,0.302333333
1,1.402305562,13.12691106,0.500466667
2,1.149457532,19.6505996,0.602
3,1.047916928,26.16319643,0.644933333
4,0.996536894,32.59128014,0.663733333
5,0.956244519,39.16486607,0.6778
6,0.921038808,45.78938699,0.6874
7,0.892014145,52.22698262,0.701266667
8,0.866274914,58.80351936,0.709666667
9,0.84202015,65.33086607,0.717733333
10,0.811514133,71.81493258,0.729666667
11,0.794576429,78.30467665,0.735266667
12,0.783315316,85.00838227,0.7384
13,0.774897368,91.4121826,0.7428
14,0.766932508,98.13414219,0.746466667
15,0.762849606,104.656552,0.745866667
16,0.75915184,111.1819702,0.748466667
17,0.755426682,117.5513599,0.750533333
18,0.750927965,124.0331939,0.7516
19,0.750490962,130.564916,0.751266667
20,0.748789762,136.9914352,0.750133333
21,0.746200341,143.3659329,0.753333333
22,0.746039133,149.7447998,0.753266667
23,0.741646615,156.1375403,0.755133333
24,0.739425874,162.7293584,0.756133333
25,0.736332681,169.2405096,0.756266667
26,0.735968776,175.7320034,0.756
27,0.735411649,182.2860165,0.757066667
28,0.732175103,188.6135024,0.7588
29,0.733613338,195.1816112,0.759466667
